Tdu_1	Tdu_2	Tdu_3	Tpr_1	Tpr_2	Tpr_3
Tpr_TRINITY_DN11346_c1_g2|Tdu_TRINITY_DN14468_c0_g1	4.93571460405414	4.4298487196292	5.0755706604757	4.76314606517732	4.91818973883431	3.60015349530383
Tpr_TRINITY_DN11644_c3_g2|Tdu_TRINITY_DN21579_c2_g4	3.14053439594264	4.63266560262889	3.85317823913926	3.72919873325398	5.13345772573737	5.29405036757815
Tpr_TRINITY_DN15001_c5_g3|Tdu_TRINITY_DN22098_c2_g2	5.42811098603922	5.52210722748119	5.53356030493909	5.99509279322702	5.61479759538437	5.06727950573112
Tpr_TRINITY_DN9794_c0_g1|Tdu_TRINITY_DN20912_c0_g2	4.33847377355455	3.74632238442446	3.85317823913926	4.62228352933747	4.25660595651024	4.72214401968244
Tpr_TRINITY_DN10598_c0_g4|Tdu_TRINITY_DN13963_c0_g1	4.33847377355455	2.94985577850959	2.96009344305577	3.58480882391881	3.33322723811315	2.97212227269078
Tpr_TRINITY_DN13642_c2_g1|Tdu_TRINITY_DN21365_c1_g4	6.76043068677318	8.04844199823164	6.57340056947089	6.72058560294928	6.69924791718368	6.35818070499786
Tpr_TRINITY_DN10379_c2_g1|Tdu_TRINITY_DN23200_c5_g2	2.75351127283339	3.91138163069495	2.47466661588553	3.58480882391881	3.76064846184783	2.6826156554958
Tpr_TRINITY_DN30976_c0_g1|Tdu_TRINITY_DN6594_c0_g1	3.14053439594264	3.65612457545288	2.65523886152735	3.58480882391881	2.86756366576434	4.55708477341194
Tpr_TRINITY_DN14803_c3_g1|Tdu_TRINITY_DN23572_c6_g1	5.03035147819222	5.30184110725313	4.63386521073478	4.76314606517732	4.25660595651024	4.37067164918106
Tpr_TRINITY_DN13683_c4_g1|Tdu_TRINITY_DN22426_c1_g1	4.66778139880751	3.83121128201097	4.29569647484021	3.72919873325398	4.40598358054846	4.37067164918106
Tpr_TRINITY_DN10334_c5_g3|Tdu_TRINITY_DN16861_c0_g1	5.11916074515007	5.82086933778951	5.86239676916863	3.72919873325398	2.56270908423592	4.15654684382821
Tpr_TRINITY_DN11732_c3_g2|Tdu_TRINITY_DN17099_c2_g2	4.7809920092555	5.07696769641293	4.29569647484021	4.62228352933747	4.45252616648549	4.79809287291574
Tpr_TRINITY_DN13697_c1_g2|Tdu_TRINITY_DN16915_c6_g1	5.07543936772075	5.11131920120371	4.97716695641471	4.69443331509331	3.90151099768768	4.55708477341194
Tpr_TRINITY_DN10107_c0_g1|Tdu_TRINITY_DN19986_c5_g1	4.66778139880751	3.98733048392825	4.67630047705518	3.24377190608374	3.51964036234403	2.32004557611109
Tpr_TRINITY_DN13082_c0_g7|Tdu_TRINITY_DN20860_c5_g5	4.60766040636994	4.48328797859066	5.36219188662711	4.46616432742019	4.49761405601403	5.00454375038316
Tpr_TRINITY_DN15171_c0_g7|Tdu_TRINITY_DN23860_c1_g4	5.68242817477191	2.1613598837033	2.0272076389143	3.58480882391881	3.96709933931525	2.32004557611109
Tpr_TRINITY_DN11605_c4_g2|Tdu_TRINITY_DN11233_c0_g1	3.91105254981987	3.98733048392825	4.34913573380167	3.98073750024995	4.54133543344335	4.79809287291574
Tpr_TRINITY_DN9291_c0_g1|Tdu_TRINITY_DN15472_c0_g1	5.3198580953872	5.49634413141611	5.86239676916863	5.11824102399988	5.59418731570908	5.62121511083166
Tpr_TRINITY_DN11804_c0_g9|Tdu_TRINITY_DN21590_c2_g1	4.93571460405414	4.93074695556189	5.7073273726758	5.06480176503842	5.01440505409361	5.66243777355817
Tpr_TRINITY_DN10219_c6_g1|Tdu_TRINITY_DN19995_c0_g1	5.59223036580033	5.04177826795063	4.97716695641471	6.20724603005863	6.35176318955058	6.47847493871557
Tpr_TRINITY_DN11290_c2_g2|Tdu_TRINITY_DN19466_c5_g2	5.20281867419698	5.2097229052647	5.51029052561625	4.95159115459043	5.50866924452303	5.66243777355817
Tpr_TRINITY_DN11779_c3_g2|Tdu_TRINITY_DN16840_c3_g3	6.96596089092226	5.33128488514561	6.76253287469926	6.30266559513731	6.72791167543583	6.22693617171961
