	Tdu_1	Tdu_2	Tdu_3	Tdu_4	Tdu_5	Tdu_6	Tpr_1	Tpr_2	Tpr_3	Tms_1	Tms_2	Tms_3
Tpr_TRINITY_DN10413_c2_g1|Tdu_TRINITY_DN19422_c0_g1	23.7616617709007	19.3163732591176	21.759496958749	18.6050665143293	12.3338538802561	26.1862923912018	27.9505036524159	33.1101914526094	25.1108132995642	10.5542350366079	10.0007799677605	20.2279775784401
Tpr_TRINITY_DN11225_c0_g1|Tdu_TRINITY_DN20432_c5_g8	13.7086510216735	20.8022481252036	25.5994081867635	64.0841179938009	23.1259760254802	28.0567418477162	15.1398561450586	11.2449706820183	7.53324398986925	16.5852264860982	11.6675766290539	11.7109343875179
Tpr_TRINITY_DN12349_c0_g2|Tdu_TRINITY_DN24837_c2_g5	47.5233235418014	72.8078684382125	51.8388015781961	93.0253325716464	97.1290993070168	78.5588771736055	40.7611511597731	63.721500531437	59.0104112539758	39.2014444216866	35.0027298871616	30.8742815670927
Tpr_TRINITY_DN12429_c1_g12|Tdu_TRINITY_DN19762_c4_g1	14.622561089785	19.3163732591176	10.2397632747054	13.4369924825711	4.62519520509604	9.35224728257208	8.15223023195463	19.3663383968093	15.0664879797385	6.03099144949025	11.6675766290539	11.7109343875179
Tpr_TRINITY_DN11519_c4_g4|Tdu_TRINITY_DN22492_c1_g8	506.306177733807	178.304983930316	148.476567483228	150.907761727338	222.00936984461	205.749440216586	313.278561770828	405.443665146104	133.08731048769	42.2169401464317	21.6683565968143	9.5816735897874
Tpr_TRINITY_DN13886_c3_g1|Tdu_TRINITY_DN16892_c3_g1	2.7417302043347	1.48587486608597	2.55994081867635	2.06722961270325	1.54173173503201	1.87044945651442	8.15223023195463	6.24720593445461	5.02216265991284	3.01549572474512	3.33359332258682	5.32315199432633
Tpr_TRINITY_DN11188_c3_g1|Tdu_TRINITY_DN19269_c1_g1	8.22519061300409	11.8869989286878	4.47989643268362	10.3361480635163	19.2716466879002	3.74089891302883	10.481438869656	5.62248534100915	3.76662199493463	10.5542350366079	15.0011699516407	17.0340863818443
Tpr_TRINITY_DN6367_c0_g1|Tdu_TRINITY_DN13778_c0_g1	7.31128054489252	12.6299363617307	9.59977807003632	5.16807403175813	16.9590490853521	9.35224728257208	17.4690647827599	16.242735429582	21.3441913046296	10.5542350366079	11.6675766290539	10.6463039886527
Tpr_TRINITY_DN15878_c3_g6|Tdu_TRINITY_DN20042_c1_g2	29.2451221795701	80.9801802016854	45.4389495315052	35.1429034159553	44.7102203159284	59.8543826084613	34.9381295655198	43.1057209477368	50.2216265991284	25.6317136603335	51.6706965000957	23.4218687750359
Tpr_TRINITY_DN13114_c0_g3|Tdu_TRINITY_DN20324_c0_g1	22.8477517027891	23.0310604243325	24.3194377774253	45.4790514794716	26.2094394955442	16.8340451086297	34.9381295655198	24.364103144373	22.5997319696078	22.6162179355884	16.6679666129341	10.6463039886527
Tpr_TRINITY_DN10256_c1_g7|Tdu_TRINITY_DN22128_c6_g2	0	1.48587486608597	1.91995561400726	0	0	0	2.32920863770132	2.49888237378184	7.53324398986925	0	0	0
Tpr_TRINITY_DN5990_c0_g1|Tdu_TRINITY_DN9033_c0_g1	0	0	0.639985204669088	0	0	0	5.82302159425331	0	0	0	0	0
Tpr_TRINITY_DN11031_c0_g2|Tdu_TRINITY_DN24624_c0_g2	112.410938377723	163.446235269457	101.117662337716	134.369924825711	125.651136405109	124.384888858209	132.764892348975	121.820515721865	115.509741177995	104.034602503707	96.6742063550177	88.3643231058171
Tpr_TRINITY_DN9093_c0_g1|Tdu_TRINITY_DN16755_c0_g1	22.8477517027891	17.0875609599887	29.439319414778	15.5042220952744	39.3141592433163	21.5101687499158	20.9628777393119	22.4899413640366	23.855272634586	18.0929743484707	43.3367131936286	27.6803903704969
Tpr_TRINITY_DN12509_c2_g1|Tdu_TRINITY_DN23225_c6_g1	46.6094134736898	86.1807422329862	67.8384316949233	69.252192025559	64.7527328713445	74.8179782605766	59.3948202613837	54.3506916297551	48.9660859341502	49.7556794582945	25.0019499194011	29.8096511682275
Tpr_TRINITY_DN2548_c0_g2|Tdu_TRINITY_DN8466_c0_g1	0	0	0	0	0	0	4.65841727540265	0	0	0	0	0
Tpr_TRINITY_DN11535_c2_g3|Tdu_TRINITY_DN15569_c0_g3	8.22519061300409	8.17231176347283	4.47989643268362	7.23530364446139	4.62519520509604	1.87044945651442	4.65841727540265	14.3685736492456	10.0443253198257	6.03099144949025	10.0007799677605	11.7109343875179
Tpr_TRINITY_DN14240_c0_g5|Tdu_TRINITY_DN18112_c6_g3	0.913910068111565	0	0.639985204669088	1.03361480635163	0	0	2.32920863770132	0.624720593445461	1.25554066497821	1.50774786237256	0	2.12926079773053
Tpr_TRINITY_DN15174_c4_g2|Tdu_TRINITY_DN20782_c2_g1	40.2120429969089	36.4039342191063	67.8384316949233	46.5126662858232	51.6480131235724	28.9919665759734	29.1151079712665	39.357397387064	66.5436552438451	182.43749134708	148.344902855113	69.2009759262423
Tpr_TRINITY_DN12294_c6_g2|Tdu_TRINITY_DN19845_c14_g1	17.3642912941197	10.4011240626018	31.3592750287853	23.7731405460874	33.1472323031883	24.3158429346874	5.82302159425331	10.6202500885728	15.0664879797385	24.123965797961	16.6679666129341	20.2279775784401
Tpr_TRINITY_DN9722_c0_g1|Tdu_TRINITY_DN17077_c1_g1	4.56955034055783	2.97174973217194	3.83991122801453	7.23530364446139	4.62519520509604	0.935224728257208	1.16460431885066	0.624720593445461	1.25554066497821	9.04648717423537	8.33398330646704	1.06463039886527
Tpr_TRINITY_DN11423_c3_g2|Tdu_TRINITY_DN24161_c3_g6	20.1060214984544	19.3163732591176	15.9996301167272	15.5042220952744	12.3338538802561	11.2226967390865	32.6089209278185	21.2405001771457	27.6218946295206	30.1549572474512	31.6691365645748	12.7755647863832
Tpr_TRINITY_DN15546_c7_g1|Tdu_TRINITY_DN19547_c0_g1	10.0530107492272	11.1440614956448	9.59977807003632	17.5714517079777	6.93779280764406	11.2226967390865	17.4690647827599	10.6202500885728	13.8109473147603	7.53873931186281	13.3343732903473	10.6463039886527
Tpr_TRINITY_DN11281_c1_g6|Tdu_TRINITY_DN20277_c6_g7	10.0530107492272	17.8304983930316	11.5197336840436	16.537836901626	12.3338538802561	8.41702255431487	13.9752518262079	10.6202500885728	6.27770332489105	21.1084700732159	15.0011699516407	13.8401951852485
Tpr_TRINITY_DN11231_c0_g3|Tdu_TRINITY_DN18212_c1_g1	28.3312121114585	38.6327465182352	38.3991122801453	27.9075997714939	57.8149400637005	41.1498880433171	61.7240288990851	30.6113090788276	60.265951918954	15.0774786237256	63.3382731291495	14.9048255841137
Tpr_TRINITY_DN9089_c0_g1|Tdu_TRINITY_DN6294_c0_g1	0	0.742937433042985	0	0	0	0	0	4.37304415411823	1.25554066497821	0	0	0
Tpr_TRINITY_DN13899_c2_g2|Tdu_TRINITY_DN17745_c2_g1	3.65564027244626	1.48587486608597	1.91995561400726	4.13445922540651	3.85432933758003	2.80567418477162	1.16460431885066	2.49888237378184	2.51108132995642	1.50774786237256	5.00038998388023	6.3877823931916
Tpr_TRINITY_DN11122_c1_g2|Tdu_TRINITY_DN20767_c5_g1	117.894398786392	220.652417613767	112.637396021759	208.790190883029	137.984990285365	109.421293206093	157.221583044839	136.18908937111	145.642717137472	105.542350366079	115.008969629245	97.9459966956045
Tpr_TRINITY_DN10466_c1_g3|Tdu_TRINITY_DN24939_c2_g2	362.822297040291	243.683478038099	268.793785961017	225.328027784655	312.200676343983	299.271913042307	321.430792002783	276.751222896339	164.475827112145	156.805777686746	131.676936242179	233.154057351493
Tpr_TRINITY_DN15747_c3_g3|Tdu_TRINITY_DN20954_c5_g3	34.7285825882395	43.8333085495361	19.1995561400726	36.1765182223069	59.3566717987325	30.8624160324879	18.6336691016106	19.9910589902547	26.3663539645424	24.123965797961	28.3355432419879	29.8096511682275
