Tms_1	Tms_2	Tms_3	Tml_1	Tml_2	Tml_3
Tpr_TRINITY_DN13298_c1_g1|Tdu_TRINITY_DN18431_c4_g1	3.40321990959486	5.89664152029214	3.09162101520124	5.66509350339437	5.0405535692809	5.65647396878513
Tpr_TRINITY_DN11712_c1_g8|Tdu_TRINITY_DN19492_c0_g1	8.34039307213942	9.52113238519994	7.65327614243032	8.46365147721482	8.26128294139471	8.10816993864282
Tpr_TRINITY_DN13660_c2_g3|Tdu_TRINITY_DN19486_c2_g1	6.45158293115626	6.66715967416938	5.83412479290887	4.86539215388021	6.42620726177865	6.13379574631832
Tpr_TRINITY_DN11346_c1_g2|Tdu_TRINITY_DN14468_c0_g1	4.89798460134444	5.2686102976791	5.11910175162334	4.01739524732525	4.60991921495104	4.7389361289771
Tpr_TRINITY_DN15001_c5_g3|Tdu_TRINITY_DN22098_c2_g2	6.45158293115626	6.41404073720066	5.69496204523725	5.72521449583195	5.29581062452298	5.53863747849127
Tpr_TRINITY_DN13642_c2_g1|Tdu_TRINITY_DN21365_c1_g4	7.14346063579393	7.16673068365989	6.95342372128122	6.82475016938286	7.11978026043148	6.94983291147572
Tpr_TRINITY_DN14803_c3_g1|Tdu_TRINITY_DN23572_c6_g1	5.07307130790253	5.5096183971829	6.04939277981194	5.06470096210361	5.44390926351211	6.00641643984209
Tpr_TRINITY_DN13683_c4_g1|Tdu_TRINITY_DN22426_c1_g1	5.30134029557565	5.58176818293873	5.27382434642198	1.69546715243789	5.29581062452298	5.59875847092884
Tpr_TRINITY_DN11732_c3_g2|Tdu_TRINITY_DN17099_c2_g2	4.89798460134444	5.65048093302275	4.14606879922361	5.15489877107519	4.47867468167279	3.89093922242215
Tpr_TRINITY_DN13697_c1_g2|Tdu_TRINITY_DN16915_c6_g1	5.15324165658651	3.68364779695794	5.27382434642198	3.81094436985783	5.21564027583899	4.3763660495924
Tpr_TRINITY_DN10107_c0_g1|Tdu_TRINITY_DN19986_c5_g1	4.0312511322079	4.74777813437766	5.27382434642198	4.01739524732525	3.54578887753133	4.93824493720051
Tpr_TRINITY_DN13082_c0_g7|Tdu_TRINITY_DN20860_c5_g5	5.87452562852045	5.65048093302275	5.45727048751792	3.28042965315905	5.81427771345723	4.7389361289771
Tpr_TRINITY_DN11605_c4_g2|Tdu_TRINITY_DN11233_c0_g1	4.19171580440115	5.58176818293873	4.03503748683487	4.35843216516032	4.8412447610575	4.23197614025722
Tpr_TRINITY_DN9291_c0_g1|Tdu_TRINITY_DN15472_c0_g1	5.61621363292906	6.33274063509882	5.80057223319784	5.72521449583195	4.8412447610575	5.53863747849127
Tpr_TRINITY_DN11804_c0_g9|Tdu_TRINITY_DN21590_c2_g1	5.67170874552076	5.58176818293873	5.22407131122488	6.17659384217451	5.21564027583899	5.91478596437652
Tpr_TRINITY_DN10219_c6_g1|Tdu_TRINITY_DN19995_c0_g1	5.43564138728724	4.47214369176423	4.88303439338982	5.53676940641884	5.29581062452298	5.53863747849127
Tpr_TRINITY_DN11290_c2_g2|Tdu_TRINITY_DN19466_c5_g2	5.61621363292906	6.73201081851934	5.73103129994477	3.56993627035403	5.86771697241869	6.00641643984209
Tpr_TRINITY_DN11779_c3_g2|Tdu_TRINITY_DN16840_c3_g3	6.24756903913467	5.35349919526561	6.02053791713975	4.19796749296708	6.27618181777405	5.41031338151573
Tpr_TRINITY_DN10516_c1_g3|Tdu_TRINITY_DN19561_c1_g1	8.43964331784473	7.91770313581997	8.09508487050481	7.49420894419079	7.60205709717807	7.93241585839831
Tpr_TRINITY_DN11462_c1_g3|Tdu_TRINITY_DN18955_c5_g2	5.37005304565966	4.13110677392917	4.03503748683487	4.96848564684431	5.21564027583899	5.91478596437652
Tpr_TRINITY_DN14614_c1_g6|Tdu_TRINITY_DN1401_c0_g1	5.67170874552076	5.95213663288385	5.11910175162334	6.64966346282477	4.60991921495104	5.71196908137683
Tpr_TRINITY_DN13868_c2_g1|Tdu_TRINITY_DN24297_c1_g3	5.8264313403194	5.4336695439496	5.45727048751792	1.69546715243789	5.5782103552237	5.47590172314331
Tpr_TRINITY_DN12667_c4_g3|Tdu_TRINITY_DN18652_c6_g1	6.54370113314469	5.58176818293873	6.18559716341025	4.75436084149146	6.31517594938991	6.90291186408823
Tpr_TRINITY_DN11436_c1_g7|Tdu_TRINITY_DN21318_c0_g1	5.30134029557565	5.77880502999828	5.11910175162334	5.39590687057898	4.60991921495104	4.62790481658836
Tpr_TRINITY_DN12744_c2_g1|Tdu_TRINITY_DN24940_c1_g1	6.60199977370936	7.34315725104415	5.73103129994477	7.00532241502468	7.24622859567242	6.85441334639704
