Tdu_4	Tdu_5	Tdu_6	Tpr_1	Tpr_2	Tpr_3
Tpr_TRINITY_DN14380_c1_g11|Tdu_TRINITY_DN22947_c0_g5	4.10584037774314	5.69502785705702	4.69823820537524	5.20310214681988	5.71645991439768	4.98952045762952
Tpr_TRINITY_DN13142_c6_g2|Tdu_TRINITY_DN25031_c3_g3	7.12318762130704	6.92100016866927	7.65152170646821	7.0686519470475	7.20390590920458	7.04456182118748
Tpr_TRINITY_DN10178_c0_g1|Tdu_TRINITY_DN16896_c1_g1	6.66734390564031	6.41178023033372	6.3386958186881	6.77167020929037	6.09569669224868	6.53109036283729
Tpr_TRINITY_DN12353_c4_g2|Tdu_TRINITY_DN22438_c1_g2	8.43473242038027	8.44386241003749	8.68580875583372	8.46256615476059	7.90822071708047	7.96934257569189
Tpr_TRINITY_DN14932_c0_g2|Tdu_TRINITY_DN21704_c6_g1	7.60697128766083	7.74132150933095	7.88689976939914	6.86735355734567	7.48973920795197	7.19115431879917
Tpr_TRINITY_DN10290_c1_g5|Tdu_TRINITY_DN23088_c1_g2	4.7062329190339	5.18938780899727	5.17555998290843	3.96431528723276	4.5251612621628	4.98952045762952
Tpr_TRINITY_DN15427_c0_g1|Tdu_TRINITY_DN20342_c1_g1	7.59872729356592	7.8523528217197	7.93570594717379	7.64688858458034	7.92871388894455	7.97744762532894
Tpr_TRINITY_DN15652_c2_g2|Tdu_TRINITY_DN19326_c5_g5	4.10584037774314	3.8939319254711	4.31121508226599	5.92037193964516	5.40158657704427	5.76445390199474
Tpr_TRINITY_DN13277_c0_g2|Tdu_TRINITY_DN14770_c0_g1	4.43704628621852	5.47889442619225	5.79399718818067	4.36485321681649	4.68789076220091	4.14152355107457
Tpr_TRINITY_DN12172_c2_g9|Tdu_TRINITY_DN13632_c0_g1	5.89311105375741	5.90482024161383	5.71231339058696	5.51028365633805	5.17331758937115	5.2790270748245
Tpr_TRINITY_DN10237_c6_g4|Tdu_TRINITY_DN20791_c2_g4	7.22310642991289	7.27160257228546	7.13955502945293	7.25709703646061	7.25673359755879	7.25921859374432
Tpr_TRINITY_DN10402_c2_g1|Tdu_TRINITY_DN22665_c0_g1	6.11742835201835	5.92635340316348	5.00309278690366	6.48033043423643	6.28562055899595	6.63721871369863
Tpr_TRINITY_DN14398_c0_g2|Tdu_TRINITY_DN17389_c3_g3	4.93300378088093	3.60442530827611	4.64052270751895	4.07534659962151	4.29196208586977	4.14152355107457
Tpr_TRINITY_DN9916_c0_g1|Tdu_TRINITY_DN17297_c0_g1	5.03428711671811	5.35733244631134	5.46875635925247	4.74672385216013	4.72585861239993	5.05225621297748
Tpr_TRINITY_DN14132_c3_g1|Tdu_TRINITY_DN20642_c1_g1	7.12318762130704	5.11632434680755	4.90845591276559	4.17844009258561	4.01366092338267	4.92393211600194
Tpr_TRINITY_DN12084_c0_g4|Tdu_TRINITY_DN17897_c3_g2	9.09269167369685	8.42885374369266	9.04679280230796	8.17532748071827	8.23550510414976	8.18766533271929
Tpr_TRINITY_DN11948_c3_g2|Tdu_TRINITY_DN22503_c2_g3	6.55252350363845	6.87744380268253	6.46044109104047	6.43940017018154	6.58319338353422	6.69733970613621
Tpr_TRINITY_DN14174_c0_g2|Tdu_TRINITY_DN17554_c1_g2	4.64349716368594	4.57745826067584	5.25463155389963	3.7127765202368	4.29196208586977	5.05225621297748
Tpr_TRINITY_DN14771_c8_g6|Tdu_TRINITY_DN18489_c3_g2	4.7062329190339	4.73218085547449	4.2352662290327	4.07534659962151	4.24043178522969	4.45186367168672
Tpr_TRINITY_DN15533_c2_g1|Tdu_TRINITY_DN18838_c2_g6	5.17401188038472	5.59100479251379	5.40085229475067	6.21527686076598	6.69269174846473	6.63721871369863
Tpr_TRINITY_DN14760_c2_g1|Tdu_TRINITY_DN21911_c2_g4	4.82406940932776	5.29248130196137	4.58040171508138	4.60586131632029	5.75369282059666	6.00546200149854
Tpr_TRINITY_DN13112_c3_g9|Tdu_TRINITY_DN25069_c2_g1	8.95416043247749	8.50953369854262	8.80224589584848	7.38115502914559	7.72351467193163	7.88568464664498
Tpr_TRINITY_DN12978_c2_g1|Tdu_TRINITY_DN21592_c2_g3	5.52668349870319	6.02944689612758	5.94467610067834	5.47020621696272	5.99045353222134	6.26585168607677
Tpr_TRINITY_DN11038_c4_g8|Tdu_TRINITY_DN22686_c1_g3	9.83551593597887	9.7175886598578	10.0667874622211	9.8032670541847	10.0426250021715	10.0570444518265
Tpr_TRINITY_DN14647_c0_g2|Tdu_TRINITY_DN20553_c6_g1	4.87956452191947	5.32527123707904	5.13433732018191	4.60586131632029	3.50346619106348	4.25255486346331
Tpr_TRINITY_DN15229_c3_g5|Tdu_TRINITY_DN20036_c5_g3	4.50919607197435	4.40412665779028	3.98000917379062	4.07534659962151	3.74447429056728	3.74559487474343
Tpr_TRINITY_DN13095_c0_g1|Tdu_TRINITY_DN20734_c1_g6	8.02508817987164	8.12798726433313	7.86816320681755	7.39192146001466	7.19716433132552	7.11971918075622
Tpr_TRINITY_DN15264_c1_g3|Tdu_TRINITY_DN20127_c1_g1	6.24967615031679	6.30074891794497	5.65516948348336	6.11487496380814	5.53588766875586	5.05225621297748
Tpr_TRINITY_DN11065_c1_g2|Tdu_TRINITY_DN15155_c1_g1	6.04646183066421	5.81532209077473	5.84599182581893	6.08864342223496	6.24697463109646	6.36803208088325
Tpr_TRINITY_DN10529_c1_g1|Tdu_TRINITY_DN18426_c5_g1	10.0992810053081	9.76317523416175	10.2743334683422	10.6406955426997	10.7869053684554	10.7985918522761
Tpr_TRINITY_DN15101_c2_g1|Tdu_TRINITY_DN20083_c6_g1	7.31655099403195	7.39256962636788	7.44787762957656	6.33168635288129	6.48697806827492	6.29208322764995
Tpr_TRINITY_DN15525_c1_g1|Tdu_TRINITY_DN21784_c0_g1	8.2731775846963	7.67290504615888	7.77735692249284	8.22434094319422	7.94490138040694	8.19463488753413
Tpr_TRINITY_DN12549_c2_g5|Tdu_TRINITY_DN18027_c1_g4	3.79550025713099	4.40412665779028	5.17555998290843	5.76340259330676	5.51435450720622	6.03682617240787
