Tdu4	Tdu5	Tdu6	Tpr1	Tpr2	Tpr3	Tms1	Tms2	Tms3
Tpr_TRINITY_DN13660_c2_g3|Tdu_TRINITY_DN19486_c2_g1	5.76663897034988	6.79247914655093	6.18055727170462	5.64105752103065	5.55192145693801	6.5006324838766	6.42640592376956	6.63365089348586	5.81007970986101
Tpr_TRINITY_DN11346_c1_g2|Tdu_TRINITY_DN14468_c0_g1	4.52427813278084	3.39122859900216	4.08540003866428	4.76354152755565	4.91804935573591	3.59941063835477	4.87280759395774	5.23510151699558	5.09505666857548
Tpr_TRINITY_DN11644_c3_g2|Tdu_TRINITY_DN21579_c2_g4	4.72131497984039	4.54009198491665	4.17028893625079	3.72959419563231	5.13331734263897	5.29330751062909	3.82550187917938	4.43863491108071	3.06757593215337
Tpr_TRINITY_DN15001_c5_g3|Tdu_TRINITY_DN22098_c2_g2	5.31647324766744	5.85635132971732	5.91137063888923	5.99548825560534	5.61465721228597	5.06653664878207	6.42640592376956	6.38053195651714	5.67091696218938
Tpr_TRINITY_DN9794_c0_g1|Tdu_TRINITY_DN20912_c0_g2	4.21112024752121	4.70055665710989	3.79589342146929	4.6226789917158	4.25646557341184	4.72140116273338	4.0060741248212	4.71426935369414	3.61506372745586
Tpr_TRINITY_DN13642_c2_g1|Tdu_TRINITY_DN21365_c1_g4	6.75918316543084	7.52944474071714	6.78919876889529	6.7209810653276	6.69910753408529	6.35743784804881	7.11828362840723	7.13322190297637	6.92937863823335
Tpr_TRINITY_DN30976_c0_g1|Tdu_TRINITY_DN6594_c0_g1	4.29600914510772	4.59558709750835	2.21093092074814	3.58520428629713	2.86742328266594	4.55634191646289	1.50357378429202	5.144903708024	1.68906430889964
Tpr_TRINITY_DN14803_c3_g1|Tdu_TRINITY_DN23572_c6_g1	4.94808584168741	5.98660771566866	4.92364896866767	4.76354152755565	4.25646557341184	4.36992879223201	5.04789430051583	5.47610961649938	6.02534769676407
Tpr_TRINITY_DN13683_c4_g1|Tdu_TRINITY_DN22426_c1_g1	4.452128347025	4.54009198491665	3.8989869144334	3.72959419563231	4.40584319745007	4.36992879223201	5.27616328818895	5.54825940225521	5.24977926337412
Tpr_TRINITY_DN10334_c5_g3|Tdu_TRINITY_DN16861_c0_g1	5.79608274824236	4.22521864756323	5.93582368261377	3.72959419563231	2.56256870113752	4.15580398687916	4.0060741248212	4.43863491108071	3.06757593215337
Tpr_TRINITY_DN11732_c3_g2|Tdu_TRINITY_DN17099_c2_g2	6.66657201524596	5.98660771566866	4.46727067400792	4.6226789917158	4.4523857833871	4.79735001596668	4.87280759395774	5.61697215233923	4.12202371617575
Tpr_TRINITY_DN13697_c1_g2|Tdu_TRINITY_DN16915_c6_g1	5.64245955912915	4.84494656644507	4.71343126127732	4.69482877747163	3.90137061458928	4.55634191646289	5.12806464919981	3.65013901627442	5.24977926337412
Tpr_TRINITY_DN10107_c0_g1|Tdu_TRINITY_DN19986_c5_g1	4.21112024752121	4.97619109972332	3.9952022296927	3.24416736846207	3.51949997924563	2.31930271916204	4.0060741248212	4.71426935369414	5.24977926337412
Tpr_TRINITY_DN13082_c0_g7|Tdu_TRINITY_DN20860_c5_g5	4.65857922449243	4.48237648706036	4.32640813816807	4.46655978979851	4.49747367291563	5.00380089343411	5.84934862113375	5.61697215233923	5.43322540447005
Tpr_TRINITY_DN15171_c0_g7|Tdu_TRINITY_DN23860_c1_g4	2.33665112960507	3.62255414510862	4.59559477098346	3.58520428629713	3.96695895621686	2.31930271916204	1.50357378429202	0.190707397637127	-0.632863785987723
Tpr_TRINITY_DN11605_c4_g2|Tdu_TRINITY_DN11233_c0_g1	4.21112024752121	4.1530688618074	4.39855792392391	3.98113296262827	4.54119505034495	4.79735001596668	4.16653879701445	5.54825940225521	4.010992403787
Tpr_TRINITY_DN9291_c0_g1|Tdu_TRINITY_DN15472_c0_g1	5.0493691775246	4.97619109972332	5.93582368261377	5.11863648637821	5.59404693261069	5.6204722538826	5.59103662554236	6.2992318544153	5.77652715014998
Tpr_TRINITY_DN11804_c0_g9|Tdu_TRINITY_DN21590_c2_g1	4.12092243854963	5.05749120182517	5.51673935027222	5.06519722741675	5.01426467099521	5.66169491660912	5.64653173813406	5.54825940225521	5.20002622817702
Tpr_TRINITY_DN10219_c6_g1|Tdu_TRINITY_DN19995_c0_g1	4.52427813278084	4.35951973927483	5.64091876149295	6.20764149243695	6.35162280645218	6.47773208176652	5.41046437990054	4.43863491108071	4.85898931034195
Tpr_TRINITY_DN11290_c2_g2|Tdu_TRINITY_DN19466_c5_g2	5.35655068704277	5.05749120182517	4.76892637386902	4.95198661696876	5.50852886142463	5.66169491660912	5.59103662554236	6.69850203783582	5.7069862168969
Tpr_TRINITY_DN11779_c3_g2|Tdu_TRINITY_DN16840_c3_g3	6.34663521817769	6.71941568436121	6.07442892084327	6.30306105751564	6.72777129233743	6.22619331477056	6.22239203174797	5.31999041458209	5.99649283409189
