"","Tdu_4","Tdu_5","Tdu_6","Tpr_1","Tpr_2","Tpr_3","Tms_1","Tms_2","Tms_3"
"Tpr_TRINITY_DN14222_c1_g6|Tdu_TRINITY_DN17376_c1_g4",70,95,74,34,70,30,43,84,32
"Tpr_TRINITY_DN15390_c2_g2|Tdu_TRINITY_DN18344_c3_g3",373,483,425,379,895,463,298,202,427
"Tpr_TRINITY_DN14752_c6_g5|Tdu_TRINITY_DN21255_c1_g1",93,121,125,49,141,61,41,32,65
"Tpr_TRINITY_DN7591_c0_g1|Tdu_TRINITY_DN21133_c2_g5",42,57,40,25,40,26,39,28,63
"Tpr_TRINITY_DN10588_c1_g1|Tdu_TRINITY_DN18547_c0_g3",86,81,141,53,142,83,100,89,93
"Tpr_TRINITY_DN12632_c2_g1|Tdu_TRINITY_DN23203_c1_g1",23,34,43,54,117,35,29,21,25
"Tpr_TRINITY_DN11993_c0_g3|Tdu_TRINITY_DN21939_c1_g1",2,1,2,11,11,8,1,1,0
"Tpr_TRINITY_DN13531_c2_g5|Tdu_TRINITY_DN23075_c3_g1",302,401,373,551,1285,861,375,414,472
"Tpr_TRINITY_DN4033_c0_g1|Tdu_TRINITY_DN17606_c4_g3",116,129,87,111,170,94,53,67,83
"Tpr_TRINITY_DN15099_c2_g1|Tdu_TRINITY_DN19880_c1_g2",116,147,102,58,175,119,111,84,113
"Tpr_TRINITY_DN11572_c4_g1|Tdu_TRINITY_DN18680_c1_g2",25,47,29,18,16,6,20,15,36
"Tpr_TRINITY_DN11070_c2_g1|Tdu_TRINITY_DN18679_c0_g3",299,451,461,234,588,250,155,163,187
"Tpr_TRINITY_DN13147_c4_g4|Tdu_TRINITY_DN19998_c2_g1",25,50,46,54,91,59,39,25,53
"Tpr_TRINITY_DN15172_c2_g3|Tdu_TRINITY_DN22547_c4_g1",0,2,34,8,12,5,1,0,2
"Tpr_TRINITY_DN14163_c3_g1|Tdu_TRINITY_DN19590_c0_g4",42,116,96,64,131,59,41,35,71
"Tpr_TRINITY_DN5032_c0_g1|Tdu_TRINITY_DN11374_c0_g1",0,0,0,0,1,1,0,1,0
"Tpr_TRINITY_DN14623_c0_g3|Tdu_TRINITY_DN21734_c3_g4",268,79,151,57,110,64,48,39,120
"Tpr_TRINITY_DN13313_c2_g11|Tdu_TRINITY_DN17059_c4_g2",38,97,67,33,104,59,56,59,54
"Tpr_TRINITY_DN11787_c0_g1|Tdu_TRINITY_DN18867_c0_g1",198,240,225,120,338,175,138,77,136
"Tpr_TRINITY_DN12013_c2_g2|Tdu_TRINITY_DN16103_c0_g1",108,151,136,67,152,75,109,74,126
"Tpr_TRINITY_DN12251_c1_g3|Tdu_TRINITY_DN20923_c1_g2",14,29,17,13,37,12,30,18,28
"Tpr_TRINITY_DN12271_c0_g1|Tdu_TRINITY_DN23805_c0_g1",18,60,60,50,87,46,40,12,12
"Tpr_TRINITY_DN13225_c1_g4|Tdu_TRINITY_DN22117_c2_g1",24,44,33,33,60,33,37,11,39
"Tpr_TRINITY_DN14456_c0_g1|Tdu_TRINITY_DN18272_c4_g4",4,3,2,3,3,1,0,0,0
"Tpr_TRINITY_DN10248_c5_g1|Tdu_TRINITY_DN18223_c3_g1",80,137,109,77,148,63,66,84,147
"Tpr_TRINITY_DN13502_c4_g7|Tdu_TRINITY_DN24579_c0_g2",14,10,15,8,22,9,1,5,7
"Tpr_TRINITY_DN13532_c5_g2|Tdu_TRINITY_DN17433_c0_g1",14,10,13,10,11,2,4,5,4
"Tpr_TRINITY_DN10187_c2_g6|Tdu_TRINITY_DN20971_c8_g1",64,102,63,51,84,31,56,47,35
"Tpr_TRINITY_DN19971_c0_g1|Tdu_TRINITY_DN31287_c0_g1",0,4,0,1,0,0,0,0,0
"Tpr_TRINITY_DN8303_c0_g1|Tdu_TRINITY_DN16034_c0_g1",37,75,54,50,88,34,33,33,45
"Tpr_TRINITY_DN13700_c1_g3|Tdu_TRINITY_DN5114_c0_g1",21,8,6,18,53,16,14,5,22
"Tpr_TRINITY_DN13660_c2_g1|Tdu_TRINITY_DN19486_c2_g2",9,17,11,7,19,18,21,21,27
"Tpr_TRINITY_DN12056_c4_g1|Tdu_TRINITY_DN21708_c3_g1",28,39,18,8,34,21,22,32,30
"Tpr_TRINITY_DN15115_c0_g2|Tdu_TRINITY_DN22684_c1_g2",77,126,124,85,210,94,49,55,38
"Tpr_TRINITY_DN12619_c0_g1|Tdu_TRINITY_DN22380_c3_g1",34,60,32,25,46,22,22,34,34
"Tpr_TRINITY_DN10216_c4_g1|Tdu_TRINITY_DN22573_c1_g1",283,131,163,110,215,121,117,100,210
"Tpr_TRINITY_DN14380_c1_g11|Tdu_TRINITY_DN22947_c0_g5",15,57,25,29,76,22,16,20,26
"Tpr_TRINITY_DN13142_c6_g2|Tdu_TRINITY_DN25031_c3_g3",125,134,197,107,214,93,62,62,106
"Tpr_TRINITY_DN8046_c0_g1|Tdu_TRINITY_DN12539_c0_g1",7,14,14,16,17,9,9,13,12
"Tpr_TRINITY_DN10178_c0_g1|Tdu_TRINITY_DN16896_c1_g1",91,94,79,87,99,65,86,67,119
"Tpr_TRINITY_DN12353_c4_g2|Tdu_TRINITY_DN22438_c1_g2",311,386,404,282,349,177,199,175,279
"Tpr_TRINITY_DN12610_c3_g3|Tdu_TRINITY_DN19249_c1_g1",2,8,2,6,13,8,3,5,1
"Tpr_TRINITY_DN10603_c5_g6|Tdu_TRINITY_DN18338_c3_g1",5,8,10,13,25,10,7,7,5
"Tpr_TRINITY_DN12429_c1_g2|Tdu_TRINITY_DN21784_c3_g2",13,17,22,9,13,7,11,9,23
"Tpr_TRINITY_DN13399_c1_g11|Tdu_TRINITY_DN20421_c0_g2",5,0,0,1,0,1,0,0,2
"Tpr_TRINITY_DN14932_c0_g2|Tdu_TRINITY_DN21704_c6_g1",175,237,232,93,261,103,126,83,152
"Tpr_TRINITY_DN10290_c1_g5|Tdu_TRINITY_DN23088_c1_g2",23,40,35,12,33,22,29,23,30
"Tpr_TRINITY_DN15427_c0_g1|Tdu_TRINITY_DN20342_c1_g1",174,256,240,160,354,178,106,86,129
"Tpr_TRINITY_DN15652_c2_g2|Tdu_TRINITY_DN19326_c5_g5",15,16,19,48,61,38,4,5,25
"Tpr_TRINITY_DN13277_c0_g2|Tdu_TRINITY_DN14770_c0_g1",19,49,54,16,37,12,11,8,4
