Tdu1	Tdu2	Tdu3	Tpr1	Tpr2	Tpr3	Tml1	Tml2	Tml3
Tpr_TRINITY_DN11779_c3_g2|Tdu_TRINITY_DN16840_c3_g3	6.96395513762065	5.32985053047098	6.76090645739828	6.30169653286894	6.72643933552242	6.22579220760598	4.17329329523647	6.2275820602416	5.38757573725942
Tpr_TRINITY_DN10516_c1_g3|Tdu_TRINITY_DN19561_c1_g1	7.83570064694821	8.30597342845304	8.13790224647957	7.60737527611122	7.35335715268495	7.44818462894243	7.46953474646019	7.55345733964563	7.909678214142
Tpr_TRINITY_DN12927_c1_g1|Tdu_TRINITY_DN22980_c2_g1	4.40861780600877	4.12675866509347	3.99241435767813	3.72822967098561	3.60305692001713	3.5990095311902	3.99272104959465	3.9446480969701	3.86820157816584
Tpr_TRINITY_DN11462_c1_g3|Tdu_TRINITY_DN18955_c5_g2	3.90904679651826	4.19234700672104	2.02558122161332	6.57431698753193	7.18458033677152	6.67141802671825	4.94381144911371	5.16704051830655	5.89204832012021
Tpr_TRINITY_DN14614_c1_g6|Tdu_TRINITY_DN1401_c0_g1	5.07343361441914	6.03141078850599	6.46701641095678	6.80351779828985	7.02452068845541	7.0584411498275	6.62498926509416	4.5613194574186	5.68923143712052
Tpr_TRINITY_DN13868_c2_g1|Tdu_TRINITY_DN24297_c1_g3	4.47733055609278	3.65469022077825	4.18085944709124	1.65784034309421	3.11763009284689	4.55594080929831	1.67079295470729	5.52961059769126	5.453164078887
Tpr_TRINITY_DN15138_c2_g2|Tdu_TRINITY_DN19397_c1_g1	6.582447261907	5.93889864971645	6.30085922320186	7.18766128962291	6.96161393689522	5.66129380944454	3.78627017212723	5.87064751552633	3.86820157816584
Tpr_TRINITY_DN12667_c4_g3|Tdu_TRINITY_DN18652_c6_g1	6.03975048816285	5.1434374062401	5.19550622305564	6.9725368687505	6.32552294448823	6.16975817269165	4.72968664376086	6.26657619185747	6.88017421983192
Tpr_TRINITY_DN12935_c0_g1|Tdu_TRINITY_DN23885_c2_g4	3.69492199116541	3.09281133317013	3.3210371051395	2.14326717026445	0.795701997959531	3.41843728554838	4.17329329523647	4.28568501480517	4.20923849600091
Tpr_TRINITY_DN11436_c1_g7|Tdu_TRINITY_DN21318_c0_g1	5.20081292089537	5.91966243085353	5.4116396539204	6.15609121062204	5.67344624790853	5.77833323063476	5.37123267284838	4.5613194574186	4.60516717233205
Tpr_TRINITY_DN12744_c2_g1|Tdu_TRINITY_DN24940_c1_g1	6.64352283865877	7.14757713660102	6.65890674389588	7.07062186843269	6.70739357983187	6.50023137671203	6.98064821729408	7.19762883813997	6.83167570214073
Tpr_TRINITY_DN13468_c0_g1|Tdu_TRINITY_DN18421_c6_g3	5.07343361441914	4.76658310084914	4.90599960586065	5.40200143866462	5.29395286548736	5.66129380944454	4.94381144911371	6.0150374248615	4.8192919776849
Tpr_TRINITY_DN30483_c0_g1|Tdu_TRINITY_DN9825_c0_g1	3.44338322416945	3.74488802974982	3.3210371051395	4.3803063675653	2.38066449868069	3.75947420338345	1.67079295470729	3.9446480969701	2.28323907744469
Tpr_TRINITY_DN515_c0_g1|Tdu_TRINITY_DN16868_c4_g5	6.19061715378948	5.64300841573061	5.66418168593655	6.73679168448903	5.16027443025539	6.27973101471679	6.52877394983486	6.0150374248615	6.85612874586527
Tpr_TRINITY_DN13052_c1_g1|Tdu_TRINITY_DN19025_c1_g1	8.25808012156822	8.24931581885012	8.41007065426506	8.44182075677801	8.5704890575607	8.6889662279291	8.0224683929887	8.26175917555969	8.33199838936454
Tpr_TRINITY_DN10426_c1_g11|Tdu_TRINITY_DN14901_c0_g1	3.69492199116541	3.98589612925362	4.34750931650069	4.82776534453652	3.90003865777427	4.03510864599687	3.54526207262343	5.32315972022383	5.17076434818628
Tpr_TRINITY_DN11118_c1_g2|Tdu_TRINITY_DN24387_c2_g2	5.0283457248906	4.48185362391603	4.75597416185604	4.09079975037032	4.30666391723691	4.93781144464196	4.33375796742972	4.43007492414034	4.71619848472079
