"","Tdu_1","Tdu_2","Tdu_3","Tpr_1","Tpr_2","Tpr_3","Tml_1","Tml_2","Tml_3"
"Tpr_TRINITY_DN13277_c0_g1|Tdu_TRINITY_DN14226_c0_g1",1,0,2,0,1,0,2,1,0
"Tpr_TRINITY_DN12935_c0_g1|Tdu_TRINITY_DN23885_c2_g4",12,10,13,3,2,7,8,9,9
"Tpr_TRINITY_DN11436_c1_g7|Tdu_TRINITY_DN21318_c0_g1",35,74,57,56,73,38,19,11,12
"Tpr_TRINITY_DN12744_c2_g1|Tdu_TRINITY_DN24940_c1_g1",96,174,136,106,150,63,59,71,58
"Tpr_TRINITY_DN13468_c0_g1|Tdu_TRINITY_DN18421_c6_g3",32,33,40,33,56,35,14,31,14
"Tpr_TRINITY_DN30483_c0_g1|Tdu_TRINITY_DN9825_c0_g1",10,16,13,16,7,9,1,7,2
"Tpr_TRINITY_DN515_c0_g1|Tdu_TRINITY_DN16868_c4_g5",70,61,68,84,51,54,43,31,59
"Tpr_TRINITY_DN13052_c1_g1|Tdu_TRINITY_DN19025_c1_g1",295,374,459,275,547,289,122,149,165
"Tpr_TRINITY_DN15806_c0_g1|Tdu_TRINITY_DN17874_c1_g4",1,6,5,2,9,2,0,2,9
"Tpr_TRINITY_DN10426_c1_g11|Tdu_TRINITY_DN14901_c0_g1",12,19,27,22,21,11,5,19,18
"Tpr_TRINITY_DN15890_c1_g3|Tdu_TRINITY_DN25023_c2_g1",3,2,3,0,3,0,0,2,1
"Tpr_TRINITY_DN11118_c1_g2|Tdu_TRINITY_DN24387_c2_g2",31,27,36,13,28,21,9,10,13
"Tpr_TRINITY_DN12437_c6_g1|Tdu_TRINITY_DN18152_c3_g1",65,118,138,30,61,38,18,38,54
"Tpr_TRINITY_DN12422_c3_g4|Tdu_TRINITY_DN23379_c3_g1",1,5,2,0,1,0,1,0,0
"Tpr_TRINITY_DN12134_c0_g2|Tdu_TRINITY_DN21624_c3_g1",158,222,284,237,385,184,119,157,84
"Tpr_TRINITY_DN8165_c0_g1|Tdu_TRINITY_DN15693_c0_g1",39,22,20,18,41,7,1,21,5
"Tpr_TRINITY_DN12409_c3_g1|Tdu_TRINITY_DN22484_c2_g8",7,9,14,3,14,8,8,8,4
"Tpr_TRINITY_DN12330_c1_g4|Tdu_TRINITY_DN20630_c0_g1",43,62,85,40,90,47,12,20,10
"Tpr_TRINITY_DN15316_c5_g4|Tdu_TRINITY_DN19520_c4_g1",4,2,2,1,2,0,2,1,1
"Tpr_TRINITY_DN11324_c0_g1|Tdu_TRINITY_DN11585_c0_g1",156,187,212,227,341,216,120,102,121
"Tpr_TRINITY_DN14194_c1_g7|Tdu_TRINITY_DN8757_c0_g1",15,35,39,9,40,15,5,14,12
"Tpr_TRINITY_DN10288_c2_g1|Tdu_TRINITY_DN23604_c4_g1",90,118,148,99,151,65,26,36,58
"Tpr_TRINITY_DN14549_c5_g3|Tdu_TRINITY_DN19459_c2_g1",13,12,14,8,17,13,7,4,6
"Tpr_TRINITY_DN12493_c7_g1|Tdu_TRINITY_DN18655_c4_g1",9,16,14,4,18,3,6,2,5
"Tpr_TRINITY_DN13630_c0_g7|Tdu_TRINITY_DN24974_c6_g2",449,602,708,328,774,413,72,176,186
"Tpr_TRINITY_DN12143_c3_g1|Tdu_TRINITY_DN20625_c4_g1",287,327,379,204,314,156,105,98,89
"Tpr_TRINITY_DN11809_c7_g3|Tdu_TRINITY_DN17369_c3_g2",97,97,147,47,102,49,34,40,64
"Tpr_TRINITY_DN12870_c3_g1|Tdu_TRINITY_DN17260_c2_g1",0,3,2,7,7,5,5,0,4
"Tpr_TRINITY_DN10769_c4_g1|Tdu_TRINITY_DN17328_c4_g1",389,532,768,353,895,471,273,241,334
"Tpr_TRINITY_DN12636_c2_g10|Tdu_TRINITY_DN19969_c1_g5",4,13,0,6,46,0,2,394,63
"Tpr_TRINITY_DN11191_c5_g12|Tdu_TRINITY_DN17180_c6_g3",10,10,12,17,8,2,0,18,2
"Tpr_TRINITY_DN11075_c8_g1|Tdu_TRINITY_DN16663_c7_g1",5,8,9,13,22,15,2,6,3
"Tpr_TRINITY_DN6697_c0_g1|Tdu_TRINITY_DN24609_c6_g3",0,2,0,0,3,3,0,5,6
"Tpr_TRINITY_DN12193_c2_g1|Tdu_TRINITY_DN21687_c3_g1",3,2,45,19,37,14,4,6,12
"Tpr_TRINITY_DN11366_c0_g1|Tdu_TRINITY_DN17359_c4_g3",173,80,77,24,64,30,37,185,125
"Tpr_TRINITY_DN4810_c0_g2|Tdu_TRINITY_DN13227_c0_g1",0,1,0,0,0,0,0,0,0
"Tpr_TRINITY_DN14222_c1_g6|Tdu_TRINITY_DN17376_c1_g4",105,91,112,34,70,30,25,48,21
"Tpr_TRINITY_DN15390_c2_g2|Tdu_TRINITY_DN18344_c3_g3",335,590,486,379,895,463,374,192,271
"Tpr_TRINITY_DN14752_c6_g5|Tdu_TRINITY_DN21255_c1_g1",101,129,174,49,141,61,24,37,70
"Tpr_TRINITY_DN7591_c0_g1|Tdu_TRINITY_DN21133_c2_g5",42,109,48,25,40,26,26,21,24
"Tpr_TRINITY_DN10588_c1_g1|Tdu_TRINITY_DN18547_c0_g3",76,95,102,53,142,83,107,43,73
"Tpr_TRINITY_DN12632_c2_g1|Tdu_TRINITY_DN23203_c1_g1",30,46,56,54,117,35,16,17,26
"Tpr_TRINITY_DN11993_c0_g3|Tdu_TRINITY_DN21939_c1_g1",0,4,4,11,11,8,0,0,0
"Tpr_TRINITY_DN13531_c2_g5|Tdu_TRINITY_DN23075_c3_g1",393,444,691,551,1285,861,86,325,265
"Tpr_TRINITY_DN4033_c0_g1|Tdu_TRINITY_DN17606_c4_g3",105,136,161,111,170,94,113,55,79
"Tpr_TRINITY_DN15099_c2_g1|Tdu_TRINITY_DN19880_c1_g2",133,162,232,58,175,119,18,82,105
"Tpr_TRINITY_DN11572_c4_g1|Tdu_TRINITY_DN18680_c1_g2",15,32,27,18,16,6,9,15,21
"Tpr_TRINITY_DN11070_c2_g1|Tdu_TRINITY_DN18679_c0_g3",324,559,665,234,588,250,135,153,122
"Tpr_TRINITY_DN13147_c4_g4|Tdu_TRINITY_DN19998_c2_g1",30,42,31,54,91,59,24,36,30
"Tpr_TRINITY_DN15172_c2_g3|Tdu_TRINITY_DN22547_c4_g1",0,12,1,8,12,5,1,1,0
"Tpr_TRINITY_DN14163_c3_g1|Tdu_TRINITY_DN19590_c0_g4",126,104,117,64,131,59,45,43,32
"Tpr_TRINITY_DN5032_c0_g1|Tdu_TRINITY_DN11374_c0_g1",0,1,0,0,1,1,0,2,0
"Tpr_TRINITY_DN14623_c0_g3|Tdu_TRINITY_DN21734_c3_g4",82,217,230,57,110,64,127,67,80
"Tpr_TRINITY_DN13313_c2_g11|Tdu_TRINITY_DN17059_c4_g2",74,74,124,33,104,59,11,51,45
"Tpr_TRINITY_DN11787_c0_g1|Tdu_TRINITY_DN18867_c0_g1",226,303,404,120,338,175,31,91,111
"Tpr_TRINITY_DN12013_c2_g2|Tdu_TRINITY_DN16103_c0_g1",135,189,185,67,152,75,29,74,87
"Tpr_TRINITY_DN12251_c1_g3|Tdu_TRINITY_DN20923_c1_g2",22,20,41,13,37,12,4,42,35
"Tpr_TRINITY_DN12271_c0_g1|Tdu_TRINITY_DN23805_c0_g1",17,100,87,50,87,46,22,30,28
"Tpr_TRINITY_DN13225_c1_g4|Tdu_TRINITY_DN22117_c2_g1",45,53,48,33,60,33,5,26,20
"Tpr_TRINITY_DN14456_c0_g1|Tdu_TRINITY_DN18272_c4_g4",1,0,0,3,3,1,0,4,1
"Tpr_TRINITY_DN10248_c5_g1|Tdu_TRINITY_DN18223_c3_g1",100,130,142,77,148,63,41,77,95
"Tpr_TRINITY_DN13502_c4_g7|Tdu_TRINITY_DN24579_c0_g2",10,7,12,8,22,9,1,5,0
"Tpr_TRINITY_DN13532_c5_g2|Tdu_TRINITY_DN17433_c0_g1",9,12,17,10,11,2,3,3,3
"Tpr_TRINITY_DN10187_c2_g6|Tdu_TRINITY_DN20971_c8_g1",162,73,82,51,84,31,16,30,19
"Tpr_TRINITY_DN19971_c0_g1|Tdu_TRINITY_DN31287_c0_g1",0,0,3,1,0,0,0,2,0
"Tpr_TRINITY_DN8303_c0_g1|Tdu_TRINITY_DN16034_c0_g1",54,69,77,50,88,34,28,40,20
"Tpr_TRINITY_DN13700_c1_g3|Tdu_TRINITY_DN5114_c0_g1",5,12,15,18,53,16,4,10,11
"Tpr_TRINITY_DN13660_c2_g1|Tdu_TRINITY_DN19486_c2_g2",21,9,23,7,19,18,2,23,14
"Tpr_TRINITY_DN12056_c4_g1|Tdu_TRINITY_DN21708_c3_g1",38,30,49,8,34,21,10,17,18
"Tpr_TRINITY_DN15115_c0_g2|Tdu_TRINITY_DN22684_c1_g2",124,157,151,85,210,94,119,19,48
"Tpr_TRINITY_DN12619_c0_g1|Tdu_TRINITY_DN22380_c3_g1",20,41,83,25,46,22,17,7,8
"Tpr_TRINITY_DN10216_c4_g1|Tdu_TRINITY_DN22573_c1_g1",260,309,271,110,215,121,159,93,159
"Tpr_TRINITY_DN14380_c1_g11|Tdu_TRINITY_DN22947_c0_g5",37,53,45,29,76,22,23,23,25
"Tpr_TRINITY_DN13142_c6_g2|Tdu_TRINITY_DN25031_c3_g3",141,296,242,107,214,93,142,72,74
"Tpr_TRINITY_DN8046_c0_g1|Tdu_TRINITY_DN12539_c0_g1",17,20,25,16,17,9,12,7,4
"Tpr_TRINITY_DN10178_c0_g1|Tdu_TRINITY_DN16896_c1_g1",126,100,103,87,99,65,70,92,89
"Tpr_TRINITY_DN12353_c4_g2|Tdu_TRINITY_DN22438_c1_g2",338,438,520,282,349,177,232,155,173
"Tpr_TRINITY_DN12610_c3_g3|Tdu_TRINITY_DN19249_c1_g1",1,8,0,6,13,8,1,2,2
"Tpr_TRINITY_DN10603_c5_g6|Tdu_TRINITY_DN18338_c3_g1",6,14,5,13,25,10,5,6,5
"Tpr_TRINITY_DN12429_c1_g2|Tdu_TRINITY_DN21784_c3_g2",15,19,28,9,13,7,0,11,12
"Tpr_TRINITY_DN13399_c1_g11|Tdu_TRINITY_DN20421_c0_g2",0,0,0,1,0,1,0,1,1
"Tpr_TRINITY_DN14932_c0_g2|Tdu_TRINITY_DN21704_c6_g1",189,302,322,93,261,103,78,85,117
"Tpr_TRINITY_DN10290_c1_g5|Tdu_TRINITY_DN23088_c1_g2",41,45,59,12,33,22,7,29,18
"Tpr_TRINITY_DN15427_c0_g1|Tdu_TRINITY_DN20342_c1_g1",183,280,296,160,354,178,98,84,104
"Tpr_TRINITY_DN15652_c2_g2|Tdu_TRINITY_DN19326_c5_g5",12,28,22,48,61,38,19,8,10
"Tpr_TRINITY_DN13277_c0_g2|Tdu_TRINITY_DN14770_c0_g1",38,50,31,16,37,12,28,16,14
"Tpr_TRINITY_DN12172_c2_g9|Tdu_TRINITY_DN13632_c0_g1",47,65,84,36,52,27,26,17,19
"Tpr_TRINITY_DN10237_c6_g4|Tdu_TRINITY_DN20791_c2_g4",154,180,222,122,222,108,126,102,97
"Tpr_TRINITY_DN10402_c2_g1|Tdu_TRINITY_DN22665_c0_g1",54,110,79,71,113,70,25,58,80
"Tpr_TRINITY_DN14194_c1_g1|Tdu_TRINITY_DN24495_c2_g2",6,6,1,4,11,2,3,4,5
"Tpr_TRINITY_DN16428_c0_g1|Tdu_TRINITY_DN11515_c0_g1",2,1,0,0,0,0,0,1,0
"Tpr_TRINITY_DN1450_c0_g1|Tdu_TRINITY_DN20003_c0_g1",40,18,25,2,11,2,0,14,9
"Tpr_TRINITY_DN14398_c0_g2|Tdu_TRINITY_DN17389_c3_g3",25,23,37,13,28,12,2,31,27
"Tpr_TRINITY_DN14658_c3_g7|Tdu_TRINITY_DN20012_c3_g1",13,25,43,8,20,6,21,14,21
"Tpr_TRINITY_DN9916_c0_g1|Tdu_TRINITY_DN17297_c0_g1",29,42,43,21,38,23,15,18,14
"Tpr_TRINITY_DN14132_c3_g1|Tdu_TRINITY_DN20642_c1_g1",81,128,36,14,23,21,13,94,62
"Tpr_TRINITY_DN11724_c1_g2|Tdu_TRINITY_DN21338_c2_g13",2,2,4,3,2,0,0,3,3
"Tpr_TRINITY_DN13550_c0_g1|Tdu_TRINITY_DN10834_c0_g2",4,2,6,25,42,22,3,9,19
"Tpr_TRINITY_DN12213_c3_g2|Tdu_TRINITY_DN20464_c3_g1",7,6,13,12,35,20,3,6,3
"Tpr_TRINITY_DN12084_c0_g4|Tdu_TRINITY_DN17897_c3_g2",463,652,502,231,438,206,96,143,177
"Tpr_TRINITY_DN11948_c3_g2|Tdu_TRINITY_DN22503_c2_g3",98,131,137,69,139,73,30,59,72
"Tpr_TRINITY_DN14174_c0_g2|Tdu_TRINITY_DN17554_c1_g2",20,42,44,10,28,23,6,9,8
"Tpr_TRINITY_DN10830_c0_g2|Tdu_TRINITY_DN16824_c0_g5",27,45,56,7,32,17,9,11,24
"Tpr_TRINITY_DN6122_c0_g1|Tdu_TRINITY_DN37846_c0_g1",20,19,18,14,1,7,3,6,10
"Tpr_TRINITY_DN14771_c8_g6|Tdu_TRINITY_DN18489_c3_g2",19,22,32,13,27,15,18,22,18
"Tpr_TRINITY_DN6898_c0_g1|Tdu_TRINITY_DN23300_c5_g1",1,3,0,0,2,2,0,0,0
"Tpr_TRINITY_DN15533_c2_g1|Tdu_TRINITY_DN18838_c2_g6",40,68,38,59,150,70,22,25,46
