Tdu_4	Tdu_5	Tdu_6	Tpr_1	Tpr_2	Tpr_3
Tpr_TRINITY_DN12056_c4_g1|Tdu_TRINITY_DN21708_c3_g1	5.00336352431701	5.17633103583694	4.25368379347124	3.42760220113278	4.58708972254941	4.94196985657843
Tpr_TRINITY_DN15115_c0_g2|Tdu_TRINITY_DN22684_c1_g2	6.44659791542651	6.85554386235415	7.00423235991037	6.75799187476834	7.19624168883764	7.07794752609741
Tpr_TRINITY_DN12619_c0_g1|Tdu_TRINITY_DN22380_c3_g1	5.27899796693044	5.79141352493443	5.06659824087075	5.01256470185394	5.01772407687927	5.00755819820601
Tpr_TRINITY_DN10216_c4_g1|Tdu_TRINITY_DN22573_c1_g1	8.3176784350945	6.91146927695214	7.39737725334038	7.12804191927388	7.23010932486034	7.44051760548211
Tpr_TRINITY_DN14380_c1_g11|Tdu_TRINITY_DN22947_c0_g5	4.12466982053915	5.71804033860421	4.71665576981379	5.22278240924429	5.7359531084639	5.00755819820601
Tpr_TRINITY_DN13142_c6_g2|Tdu_TRINITY_DN25031_c3_g3	7.14201706410304	6.94401265021646	7.66993927090676	7.0883322094719	7.22339910327079	7.06259956176397
Tpr_TRINITY_DN8046_c0_g1|Tdu_TRINITY_DN12539_c0_g1	3.07736410576079	3.73053128278741	3.90221142296986	4.3845334792409	3.60784828271621	3.76363261531992
Tpr_TRINITY_DN10178_c0_g1|Tdu_TRINITY_DN16896_c1_g1	6.68617334843632	6.43479271188091	6.35711338312665	6.79135047171477	6.11518988631489	6.54912810341378
Tpr_TRINITY_DN12353_c4_g2|Tdu_TRINITY_DN22438_c1_g2	8.45356186317627	8.46687489158468	8.70422632027227	8.48224641718499	7.92771391114668	7.98738031626838
Tpr_TRINITY_DN10603_c5_g6|Tdu_TRINITY_DN18338_c3_g1	2.62990512878957	2.96001312891017	3.43654785062105	4.09502686204591	4.15099060774274	3.90802252465509
Tpr_TRINITY_DN12429_c1_g2|Tdu_TRINITY_DN21784_c3_g2	3.92536101231574	4.0018333046048	4.53608352417197	3.58806687332603	3.23345276793471	3.42259569748485
Tpr_TRINITY_DN14932_c0_g2|Tdu_TRINITY_DN21704_c6_g1	7.62580073045683	7.76433399087815	7.90531733383769	6.88703381977008	7.50923240201818	7.20919205937566
Tpr_TRINITY_DN10290_c1_g5|Tdu_TRINITY_DN23088_c1_g2	4.72506236182991	5.21240029054446	5.19397754734698	3.98399554965717	4.54465445622902	5.00755819820601
Tpr_TRINITY_DN15427_c0_g1|Tdu_TRINITY_DN20342_c1_g1	7.61755673636192	7.87536530326689	7.95412351161233	7.66656884700475	7.94820708301076	7.99548536590543
Tpr_TRINITY_DN15652_c2_g2|Tdu_TRINITY_DN19326_c5_g5	4.12466982053915	3.91694440701829	4.32963264670454	5.94005220206957	5.42107977111048	5.78249164257123
Tpr_TRINITY_DN13277_c0_g2|Tdu_TRINITY_DN14770_c0_g1	4.45587572901452	5.50190690773945	5.81241475261922	4.3845334792409	4.70738395626712	4.15956129165106
Tpr_TRINITY_DN12172_c2_g9|Tdu_TRINITY_DN13632_c0_g1	5.91194049655342	5.92783272316102	5.73073095502551	5.52996391876246	5.19281078343737	5.29706481540099
Tpr_TRINITY_DN10237_c6_g4|Tdu_TRINITY_DN20791_c2_g4	7.2419358727089	7.29461505383265	7.15797259389148	7.27677729888501	7.276226791625	7.27725633432081
Tpr_TRINITY_DN10402_c2_g1|Tdu_TRINITY_DN22665_c0_g1	6.13625779481436	5.94936588471067	5.02151035134221	6.50001069666083	6.30511375306216	6.65525645427513
Tpr_TRINITY_DN1450_c0_g1|Tdu_TRINITY_DN20003_c0_g1	6.04083822973568	3.51640647743456	3.56779238389931	1.66206745476981	3.00212722182826	1.83763319676369
Tpr_TRINITY_DN14398_c0_g2|Tdu_TRINITY_DN17389_c3_g3	4.95183322367693	3.6274377898233	4.6589402719575	4.09502686204591	4.31145527993599	4.15956129165106
Tpr_TRINITY_DN14658_c3_g7|Tdu_TRINITY_DN20012_c3_g1	4.29975652709724	3.82674659804671	5.11031961830006	3.42760220113278	3.83611727038933	3.21614482001742
